Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1950-01-01,0,711,691,1564,1828,2683,3190,1390,2877,1561,2244,1102,2645,1836,2625,130,2863,1535,193,129
1950-01-02,1,1828,1171,151,1956,1836,2850,2635,1392,191,2605,2586,2674,691,3220,2882,2160,1887,9870,2606
1950-01-03,2,1392,130,1828,9870,711,1542,1165,1171,1836,3220,1956,1561,2850,691,151,747,2223,1890,840
1950-01-04,3,2675,3043,2683,2244,2703,8200,2823,3156,2984,3157,1836,3089,2865,3172,2760,2100,2991,2635,2684
1950-01-05,4,711,691,172,919,1390,8144,1102,193,128,112,684,2164,3172,3186,2102,190,2244,2092,1836
1950-01-06,5,7832,7451,7148,7479,7561,7152,7955,7498,7480,7021,7836,6935,7704,7329,6832,7520,3633,7831,7549
1950-01-07,6,5479,5496,5494,5495,5487,5493,5489,5484,5491,5485,5482,5490,5492,5480,5486,5481,5488,5483,5497
1950-01-08,7,5497,5495,5496,5493,5492,5494,5491,5489,5488,5490,5484,5486,5479,5485,5481,5482,5483,5487,5480
1950-01-09,8,684,3088,8201,10041,11110,11844,2634,8144,8219,1338,11846,2339,11849,1976,2099,10750,3634,2685,679
1950-01-10,9,129,11110,711,1298,10102,691,1338,11511,2896,2068,3248,2101,172,3087,3190,10071,246,11846,1950
1950-01-11,10,130,711,691,145,1535,1902,1828,151,1836,191,669,193,690,2603,1934,708,180,267,838
1950-01-12,11,2635,2984,2703,3043,1392,2604,2882,2586,1171,2222,2675,2864,2850,2851,1828,2606,2986,9870,130
1950-01-13,12,711,3191,2823,691,3190,4160,1887,2244,2683,662,2100,145,1836,2092,2700,9637,2684,130,2839
1950-01-14,13,3516,14754,2340,3884,2333,1298,11512,9370,2338,2787,2712,570,1573,3515,160,2361,2102,11110,3059
1950-01-15,14,5483,5496,5495,5493,5494,5484,5490,5492,5489,5485,5479,5497,5480,5488,5487,5491,5481,5486,5482
1950-01-16,15,5485,5496,5495,5494,5493,5486,5488,5492,5482,5490,5489,5483,5480,5497,5487,5484,5479,5481,5491
1950-01-17,16,4174,6770,3552,5382,7176,3928,7205,3190,7569,7146,3874,5258,7832,7179,7831,4660,3515,7253,3486
1950-01-18,17,5480,5495,5496,5494,5491,5493,5487,5492,5490,5483,5489,5484,5479,5481,5497,5488,5485,5482,5486
1950-01-19,18,2724,5480,5493,5494,5490,5489,5492,5485,5491,5481,5487,5483,5484,5496,5486,5482,5495,5488,5479
1950-01-20,19,3190,3928,2759,2242,3087,11110,2024,1978,3874,7205,10071,4201,1976,2101,1298,4518,4174,711,2333
1950-01-21,20,3173,187,3190,691,2708,11110,3928,4174,8197,1298,3088,2333,664,8226,8144,1563,2482,2207,172
1950-01-22,21,5040,3927,4248,3515,6758,7141,3852,2760,7143,2333,5035,4212,7144,3516,3884,4955,3894,3495,2759
1950-01-23,22,5483,5496,5494,5489,5495,5493,5491,5485,5484,5488,5490,5492,5486,5479,5487,5482,5481,5497,5480
1950-01-24,23,5497,5495,5496,5494,5491,5490,5492,5493,5487,5481,5489,5480,5484,5488,5479,5483,5482,5486,5485
1950-01-25,24,7916,5494,5496,5487,5492,5495,5493,5481,5488,5482,5480,5479,5486,5490,5491,5489,5484,5485,5483
1950-01-26,25,597,684,2325,2895,2422,2337,5486,5479,5484,5483,5491,5480,5490,5481,5488,5485,5482,5487,5489
1950-01-27,26,7565,7498,5486,5480,5493,5492,5490,5479,5484,5487,5485,5489,5488,5482,5494,5491,5481,5483,5496
1950-01-28,27,8144,684,1976,3190,2099,2339,11844,11110,11511,3194,11846,1978,2482,2068,2047,192,2687,10071,8201
1950-01-29,28,3190,1978,2760,2823,3156,1887,2908,1739,191,246,711,2683,2684,2704,173,4160,3191,3187,2311
1950-01-30,29,2823,2877,3190,8200,3874,2666,711,662,2244,2991,2164,2625,2700,2333,1887,3172,691,2578,2896
1950-01-31,30,2244,2865,711,3043,2877,145,3190,3171,2603,3220,2625,1561,2217,3462,2218,3157,2645,3172,1978
1950-02-01,31,2666,2823,2625,2578,3278,3554,3463,3191,2244,2984,2217,2675,3043,8200,3220,7032,2709,2991,2674
1950-02-02,32,1978,3190,2244,3874,4174,3057,2668,2708,3191,4155,2333,3199,2700,2823,4175,2217,2839,2821,3430
1950-02-03,33,711,246,3190,2482,1902,145,172,3191,1562,2102,180,2877,1390,691,1338,1561,10071,1836,3089
1950-02-04,34,2684,1950,2709,3190,10098,191,3087,2823,4160,2668,6769,7893,7832,3462,3589,3172,7955,4631,3094
1950-02-05,35,3190,3087,2877,3220,3172,2218,3196,2625,2991,3171,3186,3157,3054,3089,3191,2562,3043,1978,3222
1950-02-06,36,5497,5494,5496,5492,5486,5488,5495,5490,5491,5479,5481,5484,5485,5493,5482,5489,5483,5480,5487
1950-02-07,37,7868,7161,7867,7361,7124,7964,3844,7608,5309,5300,7026,7492,7208,7168,7130,5182,7123,7158,4571
1950-02-08,38,2637,3708,2724,3019,7339,7953,7286,3505,7929,2476,10761,3857,5038,7081,5310,4027,4474,7276,4199
1950-02-09,39,8218,11110,568,2099,2725,192,866,2023,2067,189,2024,2337,150,2730,1338,2047,2333,2056,1288
1950-02-10,40,129,11110,2333,8225,3057,2102,3190,2683,1950,711,10431,1326,2759,10102,172,2760,2068,447,930
1950-02-11,41,2583,2605,2850,151,1828,2586,2882,2703,2582,2223,9870,1535,2635,2606,1171,2224,711,3220,2675
1950-02-12,42,1298,3190,711,3087,1950,128,2896,2683,3156,180,3172,246,691,186,1887,2839,2102,2244,2625
1950-02-13,43,2244,3191,2218,711,3190,2603,2579,193,2645,2217,3172,3186,3171,1805,691,102,2625,3874,3208
1950-02-14,44,5497,5495,5496,5494,5491,5492,5493,5486,5484,5489,5487,5485,5490,5479,5488,5481,5482,5480,5483
1950-02-15,45,647,331,281,285,329,625,2202,2329,2201,2891,2168,2113,675,639,2486,286,2555,646,1379
1950-02-16,46,281,647,45,329,285,331,625,639,286,626,638,468,2201,2202,2329,3271,436,2891,2267
1950-02-17,47,3780,45,4698,3619,7212,2891,3748,3957,3908,2329,4467,5395,3272,2505,2202,329,2486,7713,3271
1950-02-18,48,7608,7624,7689,7284,7732,7804,3436,7258,7985,3616,6836,7026,7626,7428,7632,7544,7705,7664,7964
1950-02-19,49,7866,5483,5491,5492,5495,5490,5482,5488,5493,5484,5479,5485,5496,5480,5481,5494,5489,5486,5487
1950-02-20,50,5480,5496,5494,5495,5489,5492,5491,5493,5488,5486,5483,5485,5484,5481,5482,5487,5479,5497,5490
1950-02-21,51,2333,3190,11110,3173,3486,3057,4201,4174,4322,3156,3874,7146,2759,4941,6762,2340,3088,3087,3928
1950-02-22,52,5483,5495,5496,5494,5491,5493,5490,5482,5492,5485,5486,5481,5488,5487,5497,5479,5484,5489,5480
1950-02-23,53,7804,7284,7624,7025,5400,7428,2953,7664,6606,7377,5358,7626,7544,7985,7952,2827,7162,7766,7164
1950-02-24,54,8268,3669,7983,7334,7047,3931,2764,7338,5400,6873,11192,11148,10461,9735,8000,10119,10411,7344,7993
1950-02-25,55,5479,5495,5496,5494,5485,5493,5492,5488,5490,5484,5481,5491,5497,5489,5487,5483,5482,5486,5480
1950-02-26,56,3516,8226,2333,1298,2712,2042,3927,916,2806,5040,7580,9359,8294,2068,4955,10431,9370,951,6790
1950-02-27,57,3190,2668,7849,3156,7569,2896,3087,3554,6763,4160,3191,7477,3943,6709,2244,2700,3486,3172,3187
1950-02-28,58,5479,5496,5493,5494,5495,5490,5486,5492,5491,5483,5485,5484,5480,5481,5497,5487,5488,5482,5489
1950-03-01,59,3088,2333,4201,11110,2023,1338,3173,2102,2068,597,2340,3190,916,2024,3516,2042,1298,2759,2515
1950-03-02,60,691,130,711,2244,2877,8144,129,1390,3190,1564,2603,193,919,1904,2991,2914,1561,1836,11844
1950-03-03,61,1887,130,2823,662,3043,691,151,2244,1327,2,1805,8200,1171,2984,1950,1934,712,2675,180
1950-03-04,62,7832,3488,4631,3486,3554,3190,7823,1978,7894,3928,7266,4129,2684,3441,7477,2839,6770,3156,4156
1950-03-05,63,2333,1298,3156,5035,3057,5040,3929,3190,3495,2787,6801,3087,6824,4212,2042,11110,6770,7569,5261
1950-03-06,64,5483,5494,5496,5493,5490,5495,5485,5487,5492,5489,5480,5479,5488,5482,5497,5481,5484,5491,5486
1950-03-07,65,7124,7299,7096,7213,7161,7544,5403,7207,6836,7208,5407,7964,7618,7608,4549,7985,5357,7770,7026
1950-03-08,66,5400,5496,5495,5490,5489,5493,5494,5481,5487,5484,5488,5482,5485,5486,5492,5479,5483,5491,5480
1950-03-09,67,5488,5496,5493,5491,5495,5492,5481,5489,5490,5494,5487,5484,5479,5497,5480,5486,5482,5485,5483
1950-03-10,68,3190,8144,711,1390,664,2244,684,11844,112,2877,11511,129,8201,2218,10365,2102,1836,3087,1562
1950-03-11,69,3190,5324,2668,2704,7832,3187,3087,4155,3441,6757,3875,3928,1978,3880,6763,3156,4660,1298,3488
1950-03-12,70,2244,151,2625,711,1836,130,691,1828,1561,1392,1563,2991,2823,2164,840,3043,2635,1978,2586
1950-03-13,71,7565,5495,5496,5491,5493,5494,5484,5489,5490,5488,5486,5487,5480,5482,5479,5492,5485,5483,5481
1950-03-14,72,7334,11148,3528,7248,11615,3078,10771,7804,7577,3501,4611,939,5487,5485,5483,5489,5481,5486,5480
1950-03-15,73,3809,7148,7828,7832,7565,5261,6741,7831,3633,7470,7469,4552,6734,4847,7829,7480,7498,7204,7468
1950-03-16,74,7804,671,7624,7985,1754,7732,7428,7626,7284,7544,4303,7664,2886,8324,7258,1385,7689,2923,7608
1950-03-17,75,5479,5496,5495,5490,5492,5494,5493,5488,5484,5481,5486,5491,5489,5487,5482,5497,5483,5480,5485
1950-03-18,76,3900,7189,4985,4618,4198,3860,7868,4303,7615,7492,7158,7487,4987,7429,7867,2416,7920,7978,2776
1950-03-19,77,5483,5493,5496,5490,5491,5494,5495,5485,5488,5486,5480,5484,5489,5481,5492,5482,5479,5487,5497
1950-03-20,78,5479,5496,5495,5491,5489,5492,5494,5486,5490,5485,5481,5488,5487,5493,5484,5480,5497,5482,5483
1950-03-21,79,5484,5496,5494,5495,5487,5492,5491,5493,5490,5485,5482,5489,5497,5483,5488,5480,5481,5479,5486
1950-03-22,80,589,6873,6656,3614,5400,7334,5084,4032,7993,3597,4146,5074,5162,591,2890,4119,5406,939,2469
1950-03-23,81,340,2857,576,2523,5462,556,334,2508,2476,2320,2937,2451,2055,4034,7189,1765,7615,2624,1666
1950-03-24,82,6758,6741,7565,6811,7143,2333,7580,3515,3516,6765,6775,7836,2779,6796,7514,5481,5489,5488,5480
1950-03-25,83,11110,568,1338,4182,8155,182,597,150,188,183,654,2004,8218,192,8272,189,170,11511,3892
1950-03-26,84,3156,3190,2704,2861,3087,7565,6758,2333,3057,1298,7092,3928,2760,3187,3880,5040,6823,3874,4931
1950-03-27,85,5497,5494,5496,5493,5491,5495,5488,5485,5492,5489,5481,5479,5490,5487,5480,5484,5482,5486,5483
1950-03-28,86,281,647,45,285,331,646,329,625,675,639,2201,2486,638,2168,372,286,436,467,2202
1950-03-29,87,7985,7608,6844,6836,7624,6629,7705,7984,6897,7284,7626,7714,7211,7264,6913,3681,7209,7766,7964
1950-03-30,88,5482,5495,5496,5491,5494,5493,5489,5487,5490,5484,5481,5492,5479,5488,5497,5480,5485,5486,5483
1950-03-31,89,3190,2760,3057,3191,3486,3087,4160,3156,3186,2333,2332,2839,4155,3880,3875,2625,2666,2684,2877
1950-04-01,90,5497,5495,5496,5490,5492,5491,5494,5489,5483,5485,5480,5484,5486,5493,5487,5488,5482,5481,5479
1950-04-02,91,7565,3516,2333,6770,5261,4174,3928,5259,3874,6824,3515,7569,7833,6758,6769,5324,3156,4580,3486
1950-04-03,92,5480,5496,5495,5492,5491,5493,5494,5483,5490,5485,5488,5484,5482,5497,5486,5481,5489,5487,5479
1950-04-04,93,7916,5479,5496,5489,5492,5483,5493,5480,5490,5488,5491,5481,5495,5484,5485,5494,5482,5486,5487
1950-04-05,94,6657,3689,8268,5021,5487,5483,5485,5493,5491,5488,5489,5490,5480,5486,5479,5481,5484,5482,5492
1950-04-06,95,7565,5035,3515,6824,6801,4580,6741,2333,6770,3495,7879,6790,3929,6758,4212,3516,6796,5082,3840
1950-04-07,96,5483,5496,5495,5490,5494,5489,5493,5486,5488,5491,5479,5497,5487,5480,5492,5485,5484,5482,5481
1950-04-08,97,11110,4955,4182,3853,8218,568,7143,3513,2333,3884,3873,3852,2761,4248,3517,4206,2340,3173,5040
1950-04-09,98,3495,11110,7512,5040,4182,4212,3885,3516,4956,7547,4462,2333,4174,7565,3513,7833,4517,4580,7196
1950-04-10,99,6113,6112,6114,5487,5495,5493,5488,5489,5486,5491,5490,5481,5485,5479,5482,5494,5480,5483,5484
1950-04-11,100,5497,5496,5494,5495,5484,5492,5487,5493,5491,5483,5480,5488,5486,5481,5482,5489,5485,5490,5479
1950-04-12,101,8201,8144,684,129,11110,1154,8197,892,192,3088,867,10041,1603,11844,11488,8155,3050,1541,690
1950-04-13,102,2675,2604,2850,2625,2635,130,747,2703,2984,2605,1165,2997,2914,191,3042,1171,2882,3043,2991
1950-04-14,103,3463,3190,3043,3563,4631,2244,2684,3589,2851,3429,2823,4272,3278,3157,7178,3402,3089,2312,3094
1950-04-15,104,1298,3190,3486,1978,3928,3087,3173,2687,3108,3554,3156,11110,4174,2760,2668,172,3874,2333,4171
1950-04-16,105,3190,1887,2,3156,3087,172,711,2684,1950,2100,1836,2823,2068,1298,2333,1978,2102,246,1561
1950-04-17,106,7849,7832,6758,6730,5324,7569,7831,6763,3190,3187,3441,5082,3488,7477,4160,4911,3554,6709,6769
1950-04-18,107,5329,7244,5125,5400,7804,3844,4612,2380,7624,2060,7952,7543,2923,7993,7705,7377,6606,6610,7284
1950-04-19,108,6770,2333,3190,11110,3873,3057,4941,4171,1298,4201,6758,8218,5035,3495,6765,3087,160,3156,3884
1950-04-20,109,5484,5496,5492,5494,5495,5486,5490,5493,5489,5491,5483,5482,5479,5488,5481,5497,5480,5485,5487
1950-04-21,110,5480,5496,5495,5493,5491,5490,5494,5485,5492,5483,5484,5488,5486,5479,5489,5482,5481,5487,5497
1950-04-22,111,597,2820,11110,1630,3873,568,4182,2333,14754,4181,654,3516,2360,2725,10369,5479,5483,5480,5482
1950-04-23,112,129,3190,10041,691,10101,1390,2101,711,684,8197,3088,2683,2068,10071,1102,2896,3172,2877,8144
1950-04-24,113,6758,6790,7520,7565,7817,7832,7569,7143,3187,4660,7907,7502,5261,4990,3880,6774,6741,3854,7830
1950-04-25,114,6266,6265,6264,5486,5494,5492,5491,5488,5487,5490,5481,5480,5485,5489,5482,5484,5483,5479,5496
1950-04-26,115,5482,5495,5496,5494,5493,5492,5491,5483,5490,5488,5484,5486,5480,5481,5487,5497,5485,5489,5479
1950-04-27,116,5487,5496,5494,5495,5493,5485,5491,5489,5492,5490,5486,5480,5481,5488,5482,5483,5479,5484,5497
1950-04-28,117,3190,4174,11110,2333,2242,3191,3156,3087,5082,2806,3562,3199,2760,3928,6762,3057,10071,5005,3173
1950-04-29,118,3516,1298,2333,7565,5261,11859,2102,6741,7580,3515,4580,4201,2332,6734,6758,11110,7879,10071,7833
1950-04-30,119,3190,691,144,2333,10071,1978,2102,128,3087,711,1298,2041,10101,129,2760,2823,3191,3156,3172
1950-05-01,120,2244,2675,2823,2625,2635,3043,2222,3171,3190,3208,2997,2683,3089,2984,2572,3172,2914,2866,2217
1950-05-02,121,3087,3190,4174,3874,3928,3486,2333,4212,3049,3187,7143,3057,2861,7146,6743,7565,3156,4990,6850
1950-05-03,122,6801,6735,5495,5484,5492,5490,5489,5487,5493,5491,5479,5486,5483,5482,5481,5488,5480,5485,5494
1950-05-04,123,1976,11110,3190,129,2102,1338,2101,2482,59,10041,3088,8144,4201,690,4174,10043,3108,2333,172
1950-05-05,124,3190,2823,129,191,1739,2683,1950,3156,9359,8200,2760,691,1887,8175,9637,1978,711,3172,1298
1950-05-06,125,6758,7477,7816,6763,4212,3488,3156,7152,3928,7832,3187,7831,4660,7569,4968,4911,6700,7148,7498
1950-05-07,126,3190,11110,10071,11511,3087,2333,1978,1338,1298,711,2068,3156,2704,8197,4174,3874,3191,187,3057
1950-05-08,127,3190,3087,4174,3928,3554,2666,3488,3057,3156,1298,5082,3056,2760,3186,3553,3403,3964,2704,3191
1950-05-09,128,3190,2877,3087,2333,3191,187,11110,691,2760,2896,180,2823,2244,3255,2821,3173,2299,711,1298
1950-05-10,129,691,711,8144,1902,3190,10041,193,692,2207,2896,11511,1564,11110,131,130,1390,2683,2877,3248
1950-05-11,130,1392,711,1828,747,151,662,1954,2586,9870,2882,1542,2984,2604,2850,1956,2961,2703,2603,2635
1950-05-12,131,3190,2244,691,2760,129,711,3087,187,130,3199,3057,3172,2683,2821,2625,11110,2102,662,3088
1950-05-13,132,6770,7569,7831,7520,6850,6758,4174,4911,7832,7565,4155,6774,7498,7877,6769,6823,7841,5377,7824
1950-05-14,133,5497,5496,5495,5494,5492,5485,5484,5493,5490,5486,5487,5483,5479,5480,5482,5491,5488,5489,5481
1950-05-15,134,5485,5496,5494,5495,5493,5491,5483,5490,5492,5486,5481,5489,5479,5497,5482,5480,5488,5484,5487
1950-05-16,135,5491,5496,5494,5490,5495,5489,5493,5487,5488,5492,5484,5481,5485,5479,5480,5482,5497,5483,5486
1950-05-17,136,5490,5496,5489,5494,5495,5488,5487,5492,5491,5493,5482,5485,5480,5484,5486,5479,5497,5483,5481
1950-05-18,137,6758,5261,7565,6741,7143,7152,3515,6811,4660,7569,5035,7898,7832,7831,4991,6796,7810,7148,6824
1950-05-19,138,5481,5495,5496,5493,5494,5491,5490,5485,5492,5488,5480,5497,5487,5486,5484,5482,5489,5483,5479
1950-05-20,139,2333,11110,3516,4174,4201,5040,3190,3515,7143,4580,3517,3929,2565,2787,2006,6758,8294,951,3057
1950-05-21,140,6188,6190,6114,6189,6113,6138,6112,5491,5479,5484,5480,5488,5481,5486,5487,5485,5493,5494,5489
1950-05-22,141,7565,6811,6796,5483,5495,5492,5490,5489,5481,5494,5484,5479,5486,5482,5487,5488,5485,5480,5493
1950-05-23,142,7804,7162,5329,4612,5400,7783,7344,2060,2827,7334,7952,7993,2923,3648,7377,7123,7161,7624,2452
1950-05-24,143,5481,5496,5495,5492,5488,5493,5494,5491,5487,5484,5483,5486,5497,5480,5485,5490,5479,5482,5489
1950-05-25,144,3190,2333,129,1298,2244,3191,3057,2806,128,1978,2823,2299,2759,247,2683,11110,3087,187,3156
1950-05-26,145,2625,2572,151,2984,1828,3043,2850,2586,2635,2605,9870,662,1901,1171,1392,2991,2997,2851,706
1950-05-27,146,7561,7832,7564,7842,7831,7479,7830,6763,6764,7955,6709,7148,3187,7823,6674,7569,7818,6920,7329
1950-05-28,147,3516,6824,6758,7565,4903,6741,6796,5035,3515,7502,6734,5040,2333,7917,5480,5484,5479,5481,5487
1950-05-29,148,11110,2333,4563,3513,2340,5035,4174,7143,14754,7565,4942,5040,4955,3515,3190,3873,4212,6758,2761
1950-05-30,149,2333,5496,5493,5492,5494,5485,5490,5491,5487,5486,5481,5483,5495,5488,5489,5480,5484,5482,5479
1950-05-31,150,1338,11110,185,684,8218,2099,2023,2725,8217,2047,192,597,170,2712,568,866,2360,2682,8155
1950-06-01,151,1828,9870,1956,1171,2850,2635,2605,2882,130,840,2606,1392,2586,145,2224,2851,2582,3043,3224
1950-06-02,152,3278,2851,3043,2635,2675,2984,2544,2941,3041,2586,2986,2605,3220,2882,2997,1956,2703,2217,2580
1950-06-03,153,3057,3087,3190,6770,3928,7146,3874,6774,4174,3486,3495,6742,7147,4201,3191,3108,6800,6740,4942
1950-06-04,154,5486,5495,5496,5493,5494,5490,5488,5484,5491,5492,5483,5485,5482,5487,5479,5497,5489,5480,5481
1950-06-05,155,597,11110,3873,3215,2339,2371,3179,3892,7511,2724,3513,3882,3517,547,2346,5051,4171,3107,2862
1950-06-06,156,7916,6801,3495,3513,7512,5481,5493,5486,5479,5487,5480,5483,5482,5491,5488,5494,5490,5485,5484
1950-06-07,157,5487,5495,5496,5493,5490,5488,5494,5492,5491,5489,5481,5483,5479,5486,5497,5484,5485,5482,5480
1950-06-08,158,5484,5495,5496,5493,5490,5487,5494,5489,5483,5488,5480,5497,5486,5491,5492,5485,5481,5482,5479
1950-06-09,159,5564,5594,5653,5563,5573,5612,5652,5500,5528,5565,5572,5666,5595,5637,5651,5498,5506,5507,5499
1950-06-10,160,3513,4182,3873,5492,5490,5486,5488,5480,5489,5487,5494,5482,5483,5484,5479,5491,5481,5485,5493
1950-06-11,161,5497,5494,5496,5491,5493,5495,5490,5489,5487,5486,5484,5481,5492,5482,5483,5485,5480,5479,5488
1950-06-12,162,5480,5496,5494,5495,5490,5492,5491,5486,5493,5482,5484,5485,5488,5483,5489,5481,5487,5497,5479
1950-06-13,163,5479,5495,5496,5494,5492,5488,5487,5491,5493,5482,5485,5481,5486,5497,5483,5490,5480,5489,5484
1950-06-14,164,7189,3505,2476,556,2528,7920,3026,4198,2402,4204,5481,5484,5480,5482,5487,5483,5486,5479,5485
1950-06-15,165,5482,5496,5493,5494,5495,5491,5489,5483,5487,5492,5479,5488,5490,5480,5486,5497,5485,5484,5481
1950-06-16,166,7868,7189,4618,4985,5409,4198,4571,7161,7492,6611,7158,6658,7655,7169,7615,4987,7429,7026,7863
1950-06-17,167,7804,5309,5125,5329,3436,7985,7284,2457,7608,3844,7244,5400,7624,7964,5300,7544,7689,7361,5357
1950-06-18,168,7804,5400,5358,7208,3436,5328,7162,5329,7244,3844,7123,7305,7624,7248,7758,7492,7169,7284,7258
1950-06-19,169,5486,5495,5496,5494,5492,5493,5485,5483,5487,5490,5489,5491,5488,5484,5497,5481,5480,5482,5479
1950-06-20,170,568,3092,5741,5507,5530,5612,5739,5499,5506,5529,5528,5594,5595,5682,5683,5531,5500,5740,5498
1950-06-21,171,3057,3190,2760,3087,2333,4212,2759,2861,11110,4174,3880,2704,3928,3155,4321,3187,3874,3854,893
1950-06-22,172,3190,2333,11110,2102,711,1298,2683,2760,1950,3156,3186,2332,246,3087,1739,10431,3191,3057,1978
1950-06-23,173,3928,3057,3190,3087,2760,4174,2332,3874,2704,3191,6769,2333,3156,3187,3486,3971,7146,6758,7831
1950-06-24,174,5483,5496,5494,5495,5493,5489,5490,5492,5491,5485,5488,5484,5486,5497,5480,5481,5479,5487,5482
1950-06-25,175,7161,7492,5213,6836,7096,5358,5366,7964,7026,7162,7123,6611,7978,7124,5309,7632,5329,3785,7284
1950-06-26,176,7161,7804,7608,3535,2407,5125,7284,7168,7624,7758,7855,4985,3785,7244,6610,4571,7026,5407,5309
1950-06-27,177,7804,7161,5329,7213,5400,7284,7985,7608,7714,4571,2407,3785,7984,7244,7624,3530,5403,7544,7096
1950-06-28,178,7664,7624,7804,5358,7284,5400,4612,7025,7705,7209,6844,6913,5329,7162,6876,8024,6836,7626,7744
1950-06-29,179,5497,5496,5492,5495,5491,5489,5490,5494,5487,5484,5481,5483,5486,5488,5480,5493,5482,5479,5485
1950-06-30,180,3186,3190,2625,2877,4160,2217,3191,3157,2218,2863,4155,3462,3056,3172,2666,2244,3087,2674,2914
1950-07-01,181,5479,5496,5495,5493,5490,5491,5494,5486,5488,5489,5482,5483,5480,5492,5497,5485,5487,5481,5484
1950-07-02,182,11110,654,3873,4956,3513,597,2725,2422,4171,2333,3093,7916,7511,2340,6796,4263,4665,4909,3516
1950-07-03,183,5480,5495,5496,5493,5494,5489,5492,5487,5486,5490,5479,5483,5488,5482,5491,5497,5484,5481,5485
1950-07-04,184,5489,5496,5494,5493,5495,5492,5486,5488,5485,5490,5491,5497,5487,5484,5483,5479,5481,5480,5482
1950-07-05,185,2048,11110,2333,14754,2068,2042,568,893,186,2057,2023,9370,3852,866,951,2759,1298,2340,10128
1950-07-06,186,3190,2333,3173,11110,10071,770,2332,3155,2041,3059,185,187,2048,4201,3874,3057,4174,3516,3199
1950-07-07,187,2333,3190,11110,3087,1298,3191,3173,128,3172,10071,2299,4155,3156,131,3057,180,1978,1950,2760
1950-07-08,188,4182,3852,2401,2402,3143,7173,4954,2404,4955,568,6791,866,4181,3174,3175,5040,5311,8217,7499
1950-07-09,189,568,3174,2402,3092,8217,2401,597,7173,11503,8218,4245,2730,2820,4954,3143,2400,8226,3175,2682
