Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1950-01-01,0,2986,3197,2985,7359,3645,3024,2866,2864,8336,3977,11,5499,2873,5568,4717,5965,7358,5516,4718
1950-01-02,1,1829,2675,3198,3591,3662,2594,2839,1828,3042,2907,6601,6600,6602,2601,6651,5822,3029,2906,2865
1950-01-03,2,5822,2839,5790,7041,5968,3662,6652,5969,6602,6601,6651,7365,5747,2680,2674,5412,5823,5844,6904
1950-01-04,3,1835,71,2170,1838,2223,60,1831,18633,8072,2137,52,1844,1863,2174,12802,12445,8353,33,12064
1950-01-05,4,5,6,8413,2224,8040,2225,11675,1877,8050,2175,2171,1878,8442,10632,3269,11681,44,10606,3286
1950-01-06,5,6,44,4,26,2171,725,7,71,1849,1878,2225,2226,10202,362,2209,11702,2883,3286,687
1950-01-07,6,5,725,44,7,2171,1849,26,71,2175,362,1878,4,1868,10202,72,687,2226,2209,1912
1950-01-08,7,72,44,26,2172,2535,2567,725,2942,2226,2923,45,2169,1854,10202,2968,1879,3266,3262,3254
1950-01-09,8,3324,7003,7015,6575,2559,3642,5456,6572,3339,5514,5900,5482,5839,4351,7997,2931,2214,6541,2608
1950-01-10,9,1404,8332,2854,2503,2229,2613,2958,3195,2853,39,2588,1922,3221,2878,2849,3397,2681,2997,8342
1950-01-11,10,3256,2940,1842,2984,6519,2559,2605,3005,3638,3224,2934,2608,2621,2546,2973,3004,2214,5900,3310
1950-01-12,11,3197,5965,6954,2864,4735,2850,2986,5792,5755,5516,7359,2873,4718,5499,6641,5756,2593,7342,6953
1950-01-13,12,7931,6603,3573,3220,5965,5930,3025,3003,6665,5947,3197,8031,5549,7239,6954,4736,5421,6600,6653
1950-01-14,13,2984,2934,3638,3373,3225,2621,3007,4113,2608,5077,50,3004,2996,6519,2989,7245,4095,2546,3637
1950-01-15,14,2560,6954,5756,3197,5965,5060,5755,7369,7242,5826,2683,5792,3646,3025,3299,6953,6600,3300,5966
1950-01-16,15,3004,1842,5156,3638,3005,2854,103,2868,4358,4113,2272,2643,2934,2545,63,5077,3225,8347,13
1950-01-17,16,7358,3645,4717,7359,6521,2976,7241,7370,5568,5814,3008,3737,5142,5499,3386,6984,6594,7320,4716
1950-01-18,17,2853,3220,6603,5965,3197,2866,2848,7931,7369,3736,4356,6653,3025,2618,6665,7379,7592,6266,3976
1950-01-19,18,43,62,49,32,9801,1841,34,2213,11304,61,1852,8075,1842,3004,11387,3005,2230,8356,2870
1950-01-20,19,61,1836,2580,2884,2221,33,2993,2927,8397,2231,2994,2970,2999,2998,8051,2856,8355,34,2945
1950-01-21,20,5482,6519,6593,2546,3644,6639,4407,6958,5829,7240,8004,6990,6520,3339,4341,5900,2214,6592,5828
1950-01-22,21,2977,7369,36,2840,6953,3197,2683,3002,2612,7292,7359,2593,5792,3229,106,5755,7379,5516,3248
