Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1950-01-01,0,5414,6190,7276,5792,5086,6139,5778,5081,5528,6914,4783,5021,5492,2937,6918,6222,5047,5024,6096
1950-01-02,1,3238,3447,4298,6305,3920,5745,4024,3202,5946,5830,4703,3071,3114,6987,4878,4667,7524,3553,8383
1950-01-03,2,2625,2722,2323,2321,173,126,127,129,2262,198,2324,8123,196,2358,2433,197,2386,4141,1934
1950-01-04,3,2229,23086,6654,7116,4327,4141,3706,2323,3754,4759,2905,6755,2723,3464,5882,4263,7115,6297,5539
1950-01-05,4,5102,7383,7240,7469,5897,7374,2582,7674,7037,7525,7675,7421,6627,6990,7701,5511,5540,7688,7468
1950-01-06,5,6779,6987,5946,6601,5966,7525,6271,7496,6734,6171,7516,5965,4667,7364,7394,5721,7197,6325,5830
1950-01-07,6,9878,4537,5279,3713,7594,7997,7453,4551,4400,6058,3715,3867,4557,4426,3866,3163,4978,3513,5744
1950-01-08,7,2651,4881,3121,4158,2103,3713,2369,3863,4050,4298,6697,7548,7788,4426,4317,4069,3832,3434,4669
1950-01-09,8,2001,3239,234,104,3787,3381,2311,1201,5262,4509,4128,3080,2357,2141,159,3187,3084,3836,4213
1950-01-10,9,6718,6360,6682,7934,7497,3236,6256,7882,6406,7507,5863,6796,3114,3588,7594,6305,5548,6987,6780
1950-01-11,10,7594,5814,5527,6457,6227,5929,7342,4949,5828,8034,7936,6857,6558,7997,6452,8359,6593,7403,6039
1950-01-12,11,6868,8034,6695,7523,3202,6127,7163,5043,7342,4950,7934,5140,7882,6103,7936,6140,7229,6662,6861
1950-01-13,12,2533,3994,2372,3265,2364,3084,2431,2992,3082,2339,7674,2311,2737,2855,2338,2717,3041,2244,2340
1950-01-14,13,7934,7079,5714,6794,7594,8034,6452,7342,8383,6360,2826,6745,4938,7481,6088,6435,7151,7522,6809
1950-01-15,14,3994,3409,3834,3428,6750,4095,3387,3265,7675,7674,2855,2992,3328,5965,7374,7701,4904,7468,4460
1950-01-16,15,5527,6256,7594,6718,6103,6796,3674,6795,6987,7524,7079,5814,5863,7538,7504,6583,6777,7644,5946
