Date,0,1,2,3
1940-11-12,0,6540,9604,21049
1941-01-18,1,19762,23432,16208
1942-06-29,2,24095,1093,8577
1942-12-11,3,12161,26765,1602
1943-05-08,4,15075,20443,5624
1943-06-02,5,17891,19323,22221
1943-09-16,6,23259,24732,14998
1944-08-07,7,8368,27742,24536
1945-01-26,8,28797,28644,15607
1945-08-24,9,22930,10951,25254
1946-01-21,10,13490,10629,26804
1946-03-17,11,11531,23621,9753
1946-06-25,12,16333,25745,26413
1946-08-24,13,12789,17537,21417
1947-09-18,14,24909,11188,26719
1947-11-09,15,4374,17626,5964
1948-02-29,16,2891,8424,16720
1948-05-06,17,6611,12609,15112
1948-05-11,18,9503,21476,11237
1949-02-08,19,15226,2505,26557
1949-02-15,20,27787,6764,21882
1949-06-30,21,20983,18676,17806
1949-07-21,22,26258,5751,25075
1949-09-09,23,5690,15739,11068
1950-02-10,24,14478,17262,26289
1950-04-10,25,10381,5277,22806
1951-02-25,26,175,20833,10762
1952-01-13,27,29062,16621,16849
1952-07-10,28,10324,24633,12841
1954-02-23,29,17636,19617,17031
1954-08-09,30,27268,19345,1080
1954-08-17,31,20341,16853,22412
1954-09-01,32,27858,15238,6404
1955-02-01,33,29414,20186,6071
1955-03-16,34,12547,8534,3457
1955-04-21,35,29032,8564,21821
1955-09-29,36,28137,25508,19572
1956-09-03,37,4240,6291,21604
1956-09-21,38,10124,6257,13386
1958-08-02,39,18296,25032,16787
1958-12-07,40,18003,10328,22736
1959-05-26,41,28280,4201,7514
1959-11-10,42,26141,29531,28955
1959-11-30,43,15767,8206,1166
1961-01-23,44,24414,29355,30016
1961-06-12,45,12311,22591,22702
1962-06-21,46,28005,24587,11646
1962-10-25,47,21793,18241,17420
1962-12-26,48,19995,22171,2597
1963-02-14,49,15215,23602,7440
1963-07-20,50,17849,9566,26231
1964-08-10,51,8774,4419,28733
1964-12-24,52,23942,12190,2832
1965-10-17,53,3961,28618,27430
1968-09-13,54,13479,27733,13183
1969-01-02,55,26338,7333,7590
1969-02-07,56,23291,25098,23436
1969-07-23,57,23048,20745,16863
1969-12-29,58,27041,11400,28879
1970-05-24,59,17430,15327,18307
1971-07-16,60,29449,9556,15125
1971-09-22,61,26272,15899,15852
1974-04-04,62,6097,3332,2481
1974-07-19,63,7857,724,8632
1974-09-23,64,22967,10825,28717
1975-03-12,65,20565,24885,3099
1975-06-28,66,16839,14366,4790
1976-02-11,67,15405,108,21054
1976-08-12,68,22702,12311,1812
1976-12-30,69,10820,17136,17661
1977-01-17,70,436,19628,28777
1977-09-20,71,29747,26158,29223
1981-10-30,72,25344,11248,5514
1981-12-23,73,1275,27385,6098
1982-01-06,74,12707,28885,16716
1982-01-29,75,10258,21796,6325
1983-05-28,76,2025,20330,29066
1984-02-11,77,2404,10420,5002
1984-03-25,78,24977,9442,8472
1984-06-04,79,24592,4647,12987
1984-10-02,80,15600,16873,24676
1985-01-15,81,7805,8786,28160
1985-10-01,82,8086,18418,25467
1985-11-06,83,13423,13425,24296
1986-01-02,84,1026,21622,10651
1986-06-07,85,20530,24964,9909
1986-11-14,86,20008,19094,28233
1987-01-02,87,709,1276,2886
1987-05-05,88,15912,14734,3550
1987-11-03,89,1320,29135,10028
1988-04-04,90,11668,16375,4615
1988-08-30,91,16894,24313,8486
1989-01-23,92,28687,9300,15611
1990-01-18,93,5225,6410,4636
1990-06-01,94,15942,1184,16744
1990-09-27,95,1495,13765,8398
1990-12-20,96,21700,21698,16804
1991-12-15,97,9806,1614,9815
1992-07-25,98,24575,18850,25685
1992-12-19,99,19283,26223,16660
1993-09-14,100,8113,18477,8129
1993-12-09,101,14786,21850,29639
1994-07-24,102,24456,16916,23952
1994-08-05,103,26994,16943,1088
1995-10-26,104,19341,5636,17157
1997-05-16,105,9997,1329,28197
1998-04-10,106,26497,18101,28084
1998-11-29,107,15435,26783,27681
1999-02-09,108,67,28681,21054
1999-07-12,109,5511,17633,6348
2000-01-16,110,17693,21826,4762
2001-03-18,111,5594,14724,10369
2001-06-25,112,21706,16333,25745
2001-10-14,113,29677,19660,7941
2002-03-29,114,5761,20931,22533
2002-12-12,115,14948,8980,7376
2003-05-22,116,29333,8722,21323
2005-08-23,117,9421,21414,10339
2006-05-28,118,15509,12954,13696
2007-01-16,119,25466,17948,7725
2007-04-14,120,24897,4071,15521
2008-05-18,121,27729,16665,11343
2008-10-17,122,6089,19776,10433
2009-04-27,123,10174,2426,10728
2010-06-20,124,26721,15812,17689
2011-01-28,125,26404,2783,3012
2012-07-23,126,11874,24675,29315
2012-08-10,127,1094,16390,17416
2013-03-30,128,6443,12565,24884
2013-04-03,129,18476,22618,11487
2013-04-04,130,16293,24837,11455
2013-08-20,131,13844,18578,6380
2013-11-09,132,3308,13247,19359
2013-12-18,133,21535,4531,9081
2015-03-18,134,19708,24566,19021
2015-05-14,135,24717,1894,437
2015-10-08,136,27441,28865,7801
2016-07-25,137,29967,11300,26099
2016-08-28,138,12699,18420,3689
2019-02-08,139,8745,13554,6649
2019-05-01,140,2897,10458,27159
2019-09-19,141,18872,8860,253
2019-12-16,142,7977,8534,4762
2019-12-30,143,19401,25444,21405
2021-01-19,144,3746,9558,20226
2021-05-25,145,1148,16124,12936
2021-06-21,146,24814,25873,26077
2022-08-31,147,2431,18584,26052
2022-09-11,148,27187,6947,13726
2023-02-08,149,28605,18291,28027
2023-05-09,150,24868,7425,9380
2023-05-26,151,7526,1862,25423
2023-09-30,152,17426,9438,18655
1941-01-23,153,19064,27509,28570
1942-10-26,154,2388,29312,25059
1944-04-18,155,22132,9122,18757
1944-11-14,156,11733,4515,19573
1945-04-19,157,20940,1338,8720
1945-05-13,158,9808,3512,1704
1945-06-30,159,15857,12242,29289
1946-01-15,160,7461,28940,19371
1946-03-28,161,16840,10533,29149
1946-10-29,162,29785,14663,23854
1947-01-21,163,7450,22414,834
1947-09-24,164,2901,3076,24391
1948-04-28,165,7018,28505,28048
1948-05-17,166,6507,21352,14011
1948-10-07,167,4774,28882,6093
1948-12-16,168,11283,380,23297
1950-01-15,169,6604,20183,6206
1950-03-17,170,22364,857,11899
1950-03-18,171,6167,2904,27189
1950-06-20,172,29829,5929,29214
1950-12-03,173,19649,2965,4920
1951-02-02,174,22294,10426,10795
1951-02-24,175,4335,404,26
1951-10-26,176,25294,2547,28691
1952-11-24,177,22277,12530,8136
1954-07-24,178,102,23952,14059
1954-09-17,179,22390,10471,27107
1954-11-27,180,21563,17873,5045
1954-12-25,181,17306,18423,21248
1955-06-07,182,29939,27167,11686
1956-01-22,183,1274,24211,14105
1958-02-24,184,22536,16786,15577
1958-07-24,185,17787,5329,718
1959-03-25,186,3443,12154,21345
1959-09-27,187,10025,23677,10968
1960-04-22,188,23672,29088,14487
1960-05-09,189,1439,26958,3567
1960-07-04,190,29479,3741,16602
1961-03-22,191,8337,10491,17777
1961-04-20,192,12763,2334,22647
1961-05-10,193,17124,1492,14942
1961-10-19,194,8203,25774,15442
1961-11-03,195,25664,16002,3679
1963-10-03,196,9627,26145,22992
1963-11-17,197,23604,12950,15189
1964-04-08,198,18320,20410,23271
1964-08-17,199,20583,9119,20130
1965-01-04,200,18367,20067,12194
1965-11-01,201,18952,8232,1167
1965-11-28,202,3811,4655,20472
1966-01-07,203,1081,22736,2741
1966-03-11,204,2555,3578,14131
1967-02-08,205,17621,25305,26309
1967-03-03,206,13057,11631,17590
1967-03-28,207,14344,8906,25687
1968-07-01,208,22426,20224,7620
