Date,0,1,2,3
1940-01-01,0,8036,2192,10745
1940-01-02,1,25750,373,398
1940-01-03,2,27187,2160,19879
1940-01-04,3,16560,21726,23923
1940-01-05,4,22371,15787,18447
1940-01-06,5,23137,2896,13276
1940-01-07,6,13673,16198,25329
1940-01-08,7,10721,15123,1816
1940-01-09,8,25362,18788,26062
1940-01-10,9,2931,20523,7314
1940-01-11,10,9536,18084,25020
1940-01-12,11,738,18811,21373
1940-01-13,12,3999,20983,25001
1940-01-14,13,5150,11486,25760
1940-01-15,14,763,21376,17002
1940-01-16,15,4392,20279,1860
1940-01-17,16,8021,19434,3669
1940-01-18,17,11096,23879,27532
1940-01-19,18,5862,12225,10422
1940-01-20,19,25738,1115,27473
1940-01-21,20,19134,7294,13708
1940-01-22,21,20627,12926,18404
1940-01-23,22,24997,26464,16609
1940-01-24,23,19441,22789,22455
1940-01-25,24,25759,28237,22471
1940-01-26,25,4053,24292,6976
1940-01-27,26,22063,16617,18070
1940-01-28,27,3689,3702,26120
1940-01-29,28,21369,14033,24636
1940-01-30,29,29401,2594,5508
1940-01-31,30,27943,22832,18820
1940-02-01,31,28315,28973,3682
1940-02-02,32,16577,23880,328
1940-02-03,33,21367,19553,19166
1940-02-04,34,27957,22836,16266
1940-02-05,35,19866,16624,27188
1940-02-06,36,25391,4417,18821
1940-02-07,37,5153,18817,13338
1940-02-08,38,1103,8798,17989
1940-02-09,39,9173,27965,26140
1940-02-10,40,19544,18086,17004
1940-02-11,41,4051,8828,2601
1940-02-12,42,2608,11507,19567
1940-02-13,43,2609,18106,7340
1940-02-14,44,18466,1868,4785
1940-02-15,45,413,27952,17352
1940-02-16,46,764,414,3281
1940-02-17,47,23858,20180,11429
1940-02-18,48,23569,5151,4055
1940-02-19,49,21738,14072,11874
1940-02-20,50,22847,18489,13716
1940-02-21,51,7354,411,19924
1940-02-22,52,6262,29331,20276
1940-02-23,53,21368,6973,1499
1940-02-24,54,29042,27586,26120
1940-02-25,55,8456,5156,18081
1940-02-26,56,23934,9534,29791
1940-02-27,57,2979,5884,402
1940-02-28,58,12625,22108,1879
1940-02-29,59,27235,8082,18464
1940-03-01,60,19053,425,26358
1940-03-02,61,5165,12261,5168
1940-03-03,62,25264,276,3259
1940-03-04,63,3703,8456,17945
1940-03-05,64,28705,15543,27234
1940-03-06,65,14096,22485,24674
1940-03-07,66,12636,22924,24172
1940-03-08,67,26503,19929,12994
1940-03-09,68,15347,14982,2320
1940-03-10,69,5396,9565,7680
1940-03-11,70,5762,12275,7954
1940-03-12,71,9628,23598,12276
1940-03-13,72,2628,1381,10816
1940-03-14,73,11910,5005,27634
1940-03-15,74,17031,20673,15558
1940-03-16,75,440,22720,29295
1940-03-17,76,13723,1885,29807
1940-03-18,77,18520,15960,12314
1940-03-19,78,869,7689,26711
1940-03-20,79,23241,17397,18615
1940-03-21,80,23242,14476,12346
1940-03-22,81,15056,20262,11921
1940-03-23,82,20110,2699,13232
1940-03-24,83,1178,28676,26873
1940-03-25,84,12503,26873,27232
1940-03-26,85,5869,450,4833
1940-03-27,86,21940,7178,24039
1940-03-28,87,7545,25959,24101
1940-03-29,88,23007,29459,9280
1940-03-30,89,23251,19294,5567
1940-03-31,90,23252,15216,27788
1940-04-01,91,27229,779,11898
1940-04-02,92,25811,21793,16314
1940-04-03,93,11355,10993,3745
1940-04-04,94,11901,11530,5961
1940-04-05,95,20594,3343,23164
1940-04-06,96,20291,14068,16256
1940-04-07,97,16680,18878,12653
