Date,0,1,2,3
1940-01-01,0,9862,1155,16953
1940-01-02,1,16954,2527,25720
1940-01-03,2,2528,14399,16955
1940-01-04,3,2985,1830,11813
1940-01-05,4,22071,19879,10749
1940-01-06,5,16958,14037,7676
1940-01-07,6,5850,1102,21342
1940-01-08,7,5851,9108,2623
1940-01-09,8,6583,8813,8454
1940-01-10,9,7283,7314,18392
1940-01-11,10,23173,14376,27250
1940-01-12,11,28987,19156,14742
1940-01-13,12,1839,19581,28653
1940-01-14,13,21349,17026,10362
1940-01-15,14,5187,8415,9115
1940-01-16,15,8416,29022,2631
1940-01-17,16,13287,19495,6925
1940-01-18,17,19892,15509,9208
1940-01-19,18,15485,29729,27533
1940-01-20,19,9210,5811,8424
1940-01-21,20,7691,13291,2596
1940-01-22,21,15879,29393,2597
1940-01-23,22,24249,10218,16610
1940-01-24,23,26473,5106,9854
1940-01-25,24,18042,16216,20964
1940-01-26,25,780,1121,5520
1940-01-27,26,9899,14439,11072
1940-01-28,27,10384,11163,782
1940-01-29,28,4411,25747,26812
1940-01-30,29,5416,5112,4412
1940-01-31,30,19144,7701,18810
1940-02-01,31,1876,15916,16644
1940-02-02,32,17365,20283,5513
1940-02-03,33,13698,23934,6524
1940-02-04,34,16986,5890,6264
1940-02-05,35,20651,5893,13709
1940-02-06,36,399,21003,26123
1940-02-07,37,2250,7343,5518
1940-02-08,38,42,6995,18097
1940-02-09,39,9528,29777,9541
1940-02-10,40,7351,26129,29411
1940-02-11,41,12626,10785,11154
1940-02-12,42,38,15171,6995
1940-02-13,43,5151,19198,15902
1940-02-14,44,25686,768,18452
1940-02-15,45,14807,20654,26119
1940-02-16,46,9919,10790,20652
1940-02-17,47,7339,9543,14804
1940-02-18,48,13338,18452,8728
1940-02-19,49,6613,18822,7342
1940-02-20,50,21385,13337,21734
1940-02-21,51,7251,21023,7341
1940-02-22,52,8446,6908,7983
1940-02-23,53,11883,18096,14073
1940-02-24,54,4432,1867,26481
1940-02-25,55,1130,8807,36
1940-02-26,56,6982,6609,10802
1940-02-27,57,22011,3704,5158
1940-02-28,58,17011,15027,3708
1940-02-29,59,18542,25267,8504
1940-03-01,60,8156,121,19630
1940-03-02,61,23529,18109,7000
1940-03-03,62,19206,17290,8097
1940-03-04,63,17291,1433,17322
1940-03-05,64,9470,21765,2196
1940-03-06,65,21096,18174,8831
1940-03-07,66,18114,22863,3263
1940-03-08,67,15559,13368,23229
1940-03-09,68,22075,11177,8409
1940-03-10,69,29350,3721,7008
1940-03-11,70,27676,9931,16353
1940-03-12,71,11180,7741,23598
1940-03-13,72,5185,23175,10361
1940-03-14,73,26463,17026,9844
1940-03-15,74,22081,11183,17027
1940-03-16,75,9997,17393,3727
1940-03-17,76,27621,22417,15782
1940-03-18,77,19647,4825,24183
1940-03-19,78,13654,7962,22509
1940-03-20,79,25342,11554,16666
1940-03-21,80,10400,7233,23456
1940-03-22,81,16668,27626,3674
1940-03-23,82,13597,16883,13232
1940-03-24,83,2123,17766,30063
1940-03-25,84,6933,15151,20599
1940-03-26,85,12290,53,21387
1940-03-27,86,27480,28210,2491
1940-03-28,87,12292,11196,18715
1940-03-29,88,27694,18867,22154
1940-03-30,89,3955,20543,26903
1940-03-31,90,13087,2281,25809
1940-04-01,91,2708,26905,15066
1940-04-02,92,25080,14853,26541
1940-04-03,93,29829,8859,17411
1940-04-04,94,17047,25082,6668
1940-04-05,95,12149,19239,1039
1940-04-06,96,22741,9076,12515
1940-04-07,97,9077,23108,26546
1940-04-08,98,13034,6672,11787
1940-04-09,99,22896,29835,464
1940-04-10,100,10693,618,18514
1940-04-11,101,20341,13981,27129
1940-04-12,102,16274,8434,22107
1940-04-13,103,11525,11154,8073
1940-04-14,104,20660,23586,17011
1940-04-15,105,17058,7197,13771
1940-04-16,106,9967,13103,8506
1940-04-17,107,9968,10305,19616
1940-04-18,108,27136,22388,24366
1940-04-19,109,16271,3610,17414
1940-04-20,110,28385,10854,9241
1940-04-21,111,28386,19408,21081
1940-04-22,112,5590,6109,21082
1940-04-23,113,2669,8513,16123
1940-04-24,114,21450,23855,18162
1940-04-25,115,23795,8150,5959
1940-04-26,116,8151,21239,17434
1940-04-27,117,11379,7940,14939
1940-04-28,118,6692,4866,12476
1940-04-29,119,8519,12689,17802
1940-04-30,120,22551,20360,13786
1940-05-01,121,60,8156,19630
1940-05-02,122,11231,21976,9253
1940-05-03,123,9346,2832,26937
1940-05-04,124,28765,19694,25843
1940-05-05,125,19695,19330,22983
1940-05-06,126,10048,27763,7126
1940-05-07,127,7493,3840,22619
1940-05-08,128,15407,646,13429
1940-05-09,129,19273,16504,12273
1940-05-10,130,24175,860,17236
1940-05-11,131,19793,10510,5032
1940-05-12,132,12855,5033,28042
1940-05-13,133,9356,8960,12856
1940-05-14,134,3878,15626,20374
1940-05-15,135,5705,5613,24758
1940-05-16,136,26646,17546,17911
1940-05-17,137,4581,23360,10274
1940-05-18,138,13804,21839,9634
1940-05-19,139,15053,17245,25280
1940-05-20,140,17246,6867,25281
1940-05-21,141,25129,4250,17155
1940-05-22,142,5043,27109,29605
1940-05-23,143,11040,7082,25284
1940-05-24,144,6141,16001,14175
1940-05-25,145,16002,26747,875
1940-05-26,146,7146,10890,13447
1940-05-27,147,26961,16734,11256
1940-05-28,148,1701,16735,1243
1940-05-29,149,11258,23007,1244
1940-05-30,150,3894,23039,29248
1940-05-31,151,23009,29218,7913
1940-06-01,152,13818,1613,18658
1940-06-02,153,28428,13911,9741
1940-06-03,154,13912,10625,28429
1940-06-04,155,26696,8647,1342
1940-06-05,156,13914,26697,6831
1940-06-06,157,21950,24141,28890
1940-06-07,158,10629,21859,14189
1940-06-08,159,10630,15377,6368
1940-06-09,160,13918,15378,8195
1940-06-10,161,20401,22319,13919
1940-06-11,162,1715,11363,2353
1940-06-12,163,9386,7468,2354
1940-06-13,164,26248,13557,1259
1940-06-14,165,11640,20862,4640
1940-06-15,166,19310,28899,17941
1940-06-16,167,624,19768,28900
1940-06-17,168,16482,15294,21961
1940-06-18,169,3548,18948,28444
1940-06-19,170,18949,15388,26984
1940-06-20,171,18950,26985,6837
1940-06-21,172,28539,26986,17217
1940-06-22,173,26987,18952,17218
1940-06-23,174,18953,26988,20414
1940-06-24,175,25255,3097,6841
1940-06-25,176,27082,9764,6020
1940-06-26,177,5357,12017,20489
1940-06-27,178,18592,15670,20418
1940-06-28,179,20419,18958,17132
1940-06-29,180,25168,8215,1709
1940-06-30,181,25169,16768,22247
1940-07-01,182,18627,1643,4930
1940-07-02,183,17136,17167,28824
1940-07-03,184,13881,26998,22250
1940-07-04,185,5694,12421,3411
1940-07-05,186,18265,16439,2377
1940-07-06,187,16440,14948,18266
1940-07-07,188,21189,15314,16441
1940-07-08,189,8620,14251,7525
1940-07-09,190,18604,19000,25574
1940-07-10,191,18636,19001,18605
1940-07-11,192,10571,28833,28498
1940-07-12,193,224,20464,15350
1940-07-13,194,25578,2020,18639
1940-07-14,195,18640,14257,22261
1940-07-15,196,14227,28471,9723
1940-07-16,197,8232,22294,21929
1940-07-17,198,17182,12038,21930
1940-07-18,199,15325,17183,18978
1940-07-19,200,25188,17153,12040
1940-07-20,201,4949,25189,12041
1940-07-21,202,10612,17186,20442
1940-07-22,203,10613,10582,20443
1940-07-23,204,15361,10583,17188
1940-07-24,205,15331,17189,15362
1940-07-25,206,15332,21907,23764
1940-07-26,207,20447,27021,15333
1940-07-27,208,20448,27022,21909
1940-07-28,209,20449,27023,15335
1940-07-29,210,20450,15336,21911
1940-07-30,211,15368,9707,21912
1940-07-31,212,9708,18991,15369
1940-08-01,213,20422,18992,15308
1940-08-02,214,15309,4931,12023
1940-08-03,215,10563,15310,20424
1940-08-04,216,10564,25204,4933
1940-08-05,217,25205,13852,27031
1940-08-06,218,18966,27001,10566
1940-08-07,219,15345,9684,10567
1940-08-08,220,9685,28464,23747
1940-08-09,221,23717,12426,27004
1940-08-10,222,23718,25210,1652
1940-08-11,223,23719,6766,18606
1940-08-12,224,25181,25577,17146
1940-08-13,225,20465,12430,1655
1940-08-14,226,15352,13892,1656
1940-08-15,227,25184,17149,9723
1940-08-16,228,17150,25185,15323
1940-08-17,229,17151,15324,25183
1940-08-18,230,4947,199,15325
1940-08-19,231,6440,7901,21840
1940-08-20,232,26316,8906,22937
1940-08-21,233,7903,3063,13169
1940-08-22,234,3521,24857,29574
1940-08-23,235,28876,29575,24858
1940-08-24,236,23732,7510,26685
1940-08-25,237,13903,13872,14237
1940-08-26,238,1699,18621,4955
1940-08-27,239,15365,15334,12413
1940-08-28,240,28881,4957,12414
1940-08-29,241,12354,28882,8276
1940-08-30,242,25230,8277,18625
1940-08-31,243,18626,12083,3134
1940-09-01,244,25232,15370,6453
1940-09-02,245,12085,25233,6454
1940-09-03,246,1707,20486,8281
1940-09-04,247,1708,8282,18661
1940-09-05,248,18959,17134,27062
1940-09-06,249,27063,18936,10993
1940-09-07,250,27064,10994,28525
1940-09-08,251,28526,24417,9655
1940-09-09,252,23687,6734,3082
1940-09-10,253,23688,29989,3083
1940-09-11,254,6117,5367,25626
1940-09-12,255,271,6114,4632
1940-09-13,256,1350,7562,1351
1940-09-14,257,21585,12385,28806
1940-09-15,258,259,12386,22241
1940-09-16,259,24425,258,12372
1940-09-17,260,5281,12373,3090
1940-09-18,261,21870,899,12374
1940-09-19,262,7475,21871,24428
1940-09-20,263,7476,10032,21872
1940-09-21,264,29543,2820,23334
1940-09-22,265,7204,17491,7935
1940-09-23,266,3188,12744,23640
1940-09-24,267,905,11650,25528
1940-09-25,268,28086,6020,29639
1940-09-26,269,21817,21596,18687
1940-09-27,270,25602,25603,21597
1940-09-28,271,282,27101,255
1940-09-29,272,5014,2425,4630
1940-09-30,273,4631,5014,272
1940-10-01,274,28762,271,4631
1940-10-02,275,28124,15644,272
1940-10-03,276,20516,28094,18263
1940-10-04,277,29587,3138,25538
1940-10-05,278,29557,23014,582
1940-10-06,279,20427,15313,18997
1940-10-07,280,24385,28555,27825
1940-10-08,281,19927,25602,270
1940-10-09,282,271,5380,15643
1940-10-10,283,2448,15034,17072
1940-10-11,284,22928,24542,22350
1940-10-12,285,3419,7590,17085
