Date,0,1,2,3
1940-01-01,0,27840,11789,6172
1940-01-02,1,10787,11146,8822
1940-01-03,2,18324,26452,12481
1940-01-04,3,16591,5151,21430
1940-01-05,4,1100,23652,16500
1940-01-06,5,12910,3474,16409
1940-01-07,6,24964,23715,1436
1940-01-08,7,29652,10660,15134
1940-01-09,8,9625,23171,3842
1940-01-10,9,19519,20250,11088
1940-01-11,10,27159,12185,1837
1940-01-12,11,4029,18466,23584
1940-01-13,12,12917,29078,28257
1940-01-14,13,11508,9157,20919
1940-01-15,14,5099,24590,12925
1940-01-16,15,9055,4367,11125
1940-01-17,16,2246,21744,16239
1940-01-18,17,15569,19952,25796
1940-01-19,18,24336,9209,11187
1940-01-20,19,14065,25814,29996
1940-01-21,20,10459,15786,10784
1940-01-22,21,6519,11847,2958
1940-01-23,22,11771,29429,11405
1940-01-24,23,4314,1666,7967
1940-01-25,24,19201,15761,7038
1940-01-26,25,23220,5056,15791
1940-01-27,26,22427,3587,9066
1940-01-28,27,12779,25593,12049
1940-01-29,28,5165,5147,11107
1940-01-30,29,24653,17348,1856
1940-01-31,30,21701,1857,16677
1940-02-01,31,17732,6262,5525
1940-02-02,32,14455,29055,22837
1940-02-03,33,27580,3727,8310
1940-02-04,34,11840,28611,5099
1940-02-05,35,16631,20294,26864
1940-02-06,36,15911,826,6531
1940-02-07,37,21011,4053,19527
1940-02-08,38,21376,12296,18097
1940-02-09,39,17463,19322,19452
1940-02-10,40,27216,2598,677
1940-02-11,41,11522,7343,8825
1940-02-12,42,11515,3962,2230
1940-02-13,43,15411,27952,1452
1940-02-14,44,4430,29064,2902
1940-02-15,45,29777,4414,22476
1940-02-16,46,20646,3710,15158
1940-02-17,47,12257,21756,23947
1940-02-18,48,27234,24602,5624
1940-02-19,49,26509,11165,23950
1940-02-20,50,9894,18857,25752
1940-02-21,51,18105,2848,11167
1940-02-22,52,25033,8153,4430
1940-02-23,53,7269,15589,29783
1940-02-24,54,8087,3019,10810
1940-02-25,55,25674,4607,29573
1940-02-26,56,27604,14084,9534
1940-02-27,57,21384,11159,3711
1940-02-28,58,29399,11139,1841
1940-02-29,59,8820,5896,1515
1940-03-01,60,15096,11535,3987
1940-03-02,61,17075,29493,9557
1940-03-03,62,1870,20641,9166
1940-03-04,63,25416,15403,8251
1940-03-05,64,23203,1240,29145
1940-03-06,65,19574,19484,29012
1940-03-07,66,29474,17702,24314
1940-03-08,67,23997,26343,24475
